,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
20180,4,4,2,4,5,2,2,3,1,2,4,4,4,4,3,4,5,3,2,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,1,2,3,1,1,2,3,2,4,3,4,4,2,1,3,1,29,37,39,23,27
23778,2,3,4,5,2,3,3,2,1,2,3,3,3,3,4,3,3,4,4,4,3,3,3,4,2,3,2,4,2,4,3,3,4,3,2,2,3,2,1,3,4,2,4,3,3,4,4,2,4,4,27,34,30,26,34
23802,1,4,2,4,4,3,1,4,1,2,3,4,3,3,3,4,4,2,2,3,4,5,4,4,3,3,4,5,4,4,4,1,3,4,3,1,3,1,2,3,3,3,4,3,3,4,3,2,2,1,26,31,40,25,28
24887,3,4,2,4,4,2,2,3,1,2,3,4,4,4,3,4,4,2,2,3,4,3,4,4,2,3,4,5,4,4,4,3,2,3,2,2,3,1,2,3,2,1,2,3,3,4,2,1,4,1,27,33,37,25,23
26069,4,4,4,4,4,2,3,4,1,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,4,1,2,4,4,4,4,4,4,4,4,3,3,3,33,38,40,31,37
26065,5,4,3,5,4,1,2,2,1,2,5,3,4,3,2,4,5,4,1,3,5,4,3,2,4,4,4,4,4,4,5,4,3,3,2,3,4,2,1,2,5,2,4,4,4,4,2,2,4,4,29,34,38,29,35
26058,2,4,2,4,3,2,1,2,2,2,4,2,3,2,3,3,2,2,1,3,4,3,3,2,3,3,3,4,3,3,4,2,3,3,3,2,3,1,2,2,3,2,3,3,3,3,2,2,3,3,24,25,31,25,27
26061,3,5,2,5,4,1,1,3,1,1,4,3,4,1,4,4,4,4,1,3,4,3,4,1,3,4,4,5,3,4,4,3,5,2,3,3,4,1,1,2,4,2,5,5,5,4,2,1,3,4,26,32,35,28,35
26062,2,4,1,4,4,3,1,2,1,1,4,2,3,3,2,4,4,2,1,3,3,4,3,2,2,4,4,4,3,4,4,3,1,3,1,3,3,1,1,3,2,2,3,3,3,3,2,2,2,2,23,28,33,23,24
26057,3,4,2,5,4,1,2,4,1,3,4,5,3,4,3,5,5,5,1,5,3,4,5,3,4,4,3,5,4,4,3,3,3,5,2,2,4,2,4,5,2,4,3,2,3,4,3,2,3,2,29,40,39,33,28
26077,4,3,1,4,3,3,2,3,1,3,4,3,4,2,2,4,4,4,3,3,4,3,3,3,4,4,4,4,4,2,4,3,5,4,3,1,4,1,2,3,4,2,4,4,4,4,4,2,3,1,27,33,35,30,32
26081,1,3,1,4,4,2,2,3,1,1,1,1,4,1,4,3,5,3,1,2,1,1,1,3,4,4,1,3,1,3,1,1,4,1,4,3,2,5,1,1,3,1,5,4,4,4,4,5,5,2,22,25,22,23,37
26076,3,3,2,5,4,3,2,3,1,3,4,3,3,2,3,4,4,4,3,4,3,3,3,3,3,4,4,3,2,4,3,4,5,3,2,2,2,1,2,3,1,2,3,5,5,3,3,2,2,4,29,34,32,27,30
